ModeTag,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,8,8,"[[256, 256], [1024, 1024], [64, 64], [64], [128]]",0.004725614777847778,16646.32321710345,0.5513551301561954
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,9,9,"[[1024, 1024], [64, 64], [64], [128]]",-0.004572647517935747,15518.394088615132,0.5565061163509962
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,10,10,"[[1024, 1024], [64, 64], [64], [128, 128]]",0.0038975449891307514,15448.965646010956,0.5518138584555624
hardQPS_Q3500,modifiers_02,TPE,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,TPE,0,2,2,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,TPE,0,3,3,"[[512, 512, 512, 512], [256, 256, 256], [256, 256, 256, 256]]",0.04753036977200781,16415.606045338995,0.5276424519123548
hardQPS_Q3500,modifiers_02,TPE,0,4,4,"[[2048, 2048, 2048], [64], [1024]]",0.07669203758255913,3514.140221932854,0.5114876755110015
hardQPS_Q3500,modifiers_02,TPE,0,5,5,"[[64, 64, 64, 64], [64, 64, 64, 64], [512, 512, 512, 512, 512]]",0.062460895964350824,25229.72328387308,0.5193713436287408
hardQPS_Q3500,modifiers_02,TPE,0,6,6,"[[512], [512, 512, 512, 512], [1024, 1024, 1024, 1024, 1024]]",0.09116918877260805,7148.70673818002,0.5034677247344137
hardQPS_Q3500,modifiers_02,TPE,0,7,7,"[[128, 128, 128, 128], [128], [512, 512], [2048, 2048, 2048]]",0.10065997532065846,5051.8044727358165,0.4982100853033366
hardQPS_Q3500,modifiers_02,TPE,0,8,8,"[[128, 128, 128, 128]]",-0.015302354515406156,44832.22427300673,0.5624500842516749
hardQPS_Q3500,modifiers_02,TPE,0,9,9,"[[2048], [2048], [2048, 2048, 2048], [1024, 1024, 1024, 1024], [128]]",0.12214472684448976,1894.829698930667,0.4863081131952616
hardQPS_Q3500,modifiers_02,TPE,0,10,10,"[[64, 64]]",-0.03773927152513204,49712.819368515,0.5748795303239155
hardQPS_Q3500,modifiers_02,Skopt-Random,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,Skopt-Random,0,2,2,"[[2048, 2048, 2048, 2048]]",0.06848709653357286,2509.6965343099173,0.5160329912622734
