competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch,time_seconds
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,9,0.0022967495847577048,9740.355454292981,0.49168756952294035,"[[64, 64, 64, 64, 64], [1728, 1728, 1728, 1728, 1728], [256, 256], [2304], [64]]",10.242522954940796
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,0,0.0027641584213856916,6318.234072461097,0.4914572213560285,"[[2112, 2112, 2112], [896, 896, 896, 896, 896], [1216, 1216], [576, 576, 576, 576], [1152, 1152, 1152, 1152]]",5.0766661167144775
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,1,0.0018745288611558752,10419.235951736044,0.4918956481087359,"[[1216, 1216], [512, 512, 512, 512], [256, 256, 256, 256], [3840], [768, 768]]",5.002344369888306
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,2,0.0024993035576200483,6468.139525091367,0.4915877469849538,"[[576], [832, 832, 832, 832], [4032], [704, 704, 704], [2624, 2624, 2624]]",4.994013786315918
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,3,0.00220104040110805,6451.02278877446,0.4917347368704158,"[[960, 960, 960, 960], [448, 448, 448, 448], [768, 768, 768, 768, 768], [192, 192], [3968, 3968, 3968]]",4.980215787887573
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,4,0.0027013062131089863,7648.381143890154,0.49148819614689326,"[[1216, 1216, 1216, 1216], [192, 192, 192, 192, 192], [1088, 1088, 1088, 1088], [3008], [640, 640, 640, 640]]",5.072041988372803
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,5,0.0026270417633536664,6266.5956375654805,0.49152479511235414,"[[2176, 2176, 2176, 2176], [320, 320, 320, 320, 320], [1152, 1152, 1152, 1152], [128], [1792, 1792, 1792, 1792]]",5.00944972038269
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,6,0.003203043870116271,6393.169677308962,0.4912409300695207,"[[512, 512, 512, 512], [2112, 2112, 2112, 2112, 2112], [256, 256, 256, 256, 256], [320, 320, 320, 320, 320], [768, 768, 768, 768, 768]]",5.054346323013306
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,7,0.0020552874029652534,6139.125539057488,0.49180656678314555,"[[64, 64, 64, 64], [128, 128, 128, 128], [832, 832], [896], [3392, 3392, 3392, 3392]]",4.9735331535339355
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,8,0.002005488909178269,7068.643742064258,0.4918311084495838,"[[1024, 1024], [512, 512, 512, 512, 512], [1344, 1344], [960], [2176, 2176, 2176, 2176, 2176]]",5.030487775802612
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,9,0.0026349922345485933,7381.486482956576,0.49152087696549357,"[[2048, 2048, 2048], [1024, 1024], [256], [3840], [448, 448, 448]]",4.983334541320801
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,0,0.002390058135879023,6197.212594945741,0.4916415852538729,"[[768, 768, 768, 768], [320, 320, 320, 320, 320], [448, 448], [320, 320, 320], [3072, 3072, 3072, 3072, 3072]]",0.12061476707458496
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,1,0.0022638953849089057,7023.48775629712,0.49170376071171873,"[[1856, 1856, 1856], [192, 192, 192, 192, 192], [2304], [896, 896, 896, 896], [2688]]",0.11877155303955078
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,2,0.0024993035576200483,6468.139525091367,0.4915877469849538,"[[576], [832, 832, 832, 832], [4032], [704, 704, 704], [2624, 2624, 2624]]",0.11772680282592773
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,3,0.0019371525723390268,7909.543520067138,0.4918647859256836,"[[320, 320, 320], [1408, 1408, 1408, 1408, 1408], [576, 576], [1280, 1280, 1280], [128, 128, 128, 128, 128]]",0.11678957939147949
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,4,0.002252595614918535,6121.091494350933,0.4917093294581776,"[[832, 832, 832, 832], [1600, 1600], [1280, 1280, 1280, 1280], [1472], [1920, 1920, 1920]]",0.11739706993103027
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,5,0.002150607667825641,6670.14301888922,0.49175959110241485,"[[3136], [1984, 1984], [1088], [512, 512, 512, 512, 512], [832, 832, 832, 832]]",0.11744928359985352
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,6,0.001571689633190927,7392.11655412582,0.49204489317122546,"[[2176, 2176], [576, 576, 576], [192, 192], [832, 832, 832, 832, 832], [1344, 1344, 1344, 1344, 1344]]",0.11752605438232422
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,7,0.00218318657656975,6548.612651032846,0.49174353558244793,"[[2560, 2560, 2560], [64, 64, 64, 64], [576, 576, 576, 576], [896, 896], [1600, 1600, 1600]]",0.1180257797241211
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,8,0.0018837244794212959,9322.391166550051,0.49189111632917787,"[[2688], [1280, 1280, 1280, 1280], [384, 384, 384], [2304], [192, 192]]",0.11780548095703125
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,9,0.0014342323950999498,6536.1967170685075,0.49211263477202927,"[[704, 704, 704], [3008], [640, 640], [192], [2688, 2688, 2688, 2688, 2688]]",0.1180722713470459
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,0,0.00250059445955581,6791.545880529606,0.4915871108033687,"[[832, 832, 832], [1792, 1792, 1792, 1792], [1152, 1152], [192, 192, 192, 192, 192], [2112, 2112, 2112]]",0.4985668659210205
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,1,0.0020030108196160607,6677.826932542912,0.4918323297003248,"[[3072, 3072], [384, 384, 384], [1088, 1088, 1088], [128], [1920, 1920, 1920, 1920, 1920]]",0.49280309677124023
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,2,0.0021442446206938505,6982.460123944628,0.4917627269358179,"[[2752], [1216, 1216, 1216, 1216, 1216], [1280, 1280], [832], [2944]]",0.4927849769592285
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,3,0.0022712427626183445,6035.813769498009,0.4917001397810594,"[[1600, 1600], [2112, 2112, 2112], [512, 512, 512, 512], [960, 960, 960], [832, 832]]",0.4912700653076172
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,4,0.00256932926290084,6047.640144090768,0.4915532369552237,"[[4096], [1792, 1792, 1792], [64, 64, 64], [256, 256, 256, 256, 256], [2048, 2048, 2048]]",0.49333977699279785
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,5,0.0026422431530311926,6969.198454399722,0.4915173035718176,"[[1152, 1152, 1152], [1088, 1088], [640, 640], [3968], [832, 832, 832, 832, 832]]",0.4979543685913086
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,6,0.002876796923228867,6232.30836847333,0.49140171091123147,"[[1088, 1088, 1088, 1088, 1088], [1664, 1664, 1664], [1152, 1152], [1984], [704, 704, 704]]",0.49313974380493164
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,7,0.0022142112846213133,6495.1422113173785,0.49172824600281523,"[[1536, 1536], [448, 448, 448, 448], [1920, 1920, 1920], [576, 576, 576, 576, 576], [3520, 3520]]",0.49186158180236816
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,8,0.0026770495920398125,6564.940800097761,0.49150015028160554,"[[1472, 1472, 1472, 1472], [1088, 1088, 1088, 1088, 1088], [1024, 1024], [1024, 1024], [896, 896, 896, 896]]",0.502030611038208
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,9,0.0018407278316115864,6041.113134887976,0.4919123059136063,"[[768, 768, 768], [128, 128], [2496, 2496, 2496, 2496, 2496], [192], [3008, 3008, 3008]]",0.49252748489379883
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,2,config_02,LogSpaceSimulatedAnnealing,0,0.010450498935292051,6289.379516740431,0.49178871414968034,"[[256], [2176, 2176], [1024, 1024, 1024], [1664, 1664, 1664, 1664], [1024]]",0.07450532913208008
